UID,Condition,Week,I am satisfied with my current level of physical activity.,I am a physically active person.,I am committed to my physical activity goal.,How hopeful are you about your physical health today?,How was your mood today?,"On a scale of 1 to 10, how would you rate your overall experience with the app this week? (1: terrible, 10: Outstanding)","On a scale of 1 to 10, how do you like the visual of the wallpaper of this week? (1: not at all, 10: extremely)",EXERCISING is:,EXERCISING is:.1,I don’t get enough exercise because I have never learned the skills for any sport.,"Physical activity takes too much time away from other commitments—time, work, family, etc.",It’s just too expensive. You have to take a class or join a club or buy the right equipment.,My usual social activities with family or friends do not include physical activity.,My usual social activities with family or friends do not include physical activity..1,I’m just too tired to get any exercise on most days,"I want to get more exercise, but I just can’t seem to make myself stick to anything.",I’m afraid I might injure myself when I exercise,overall_rating_num,wallpaper_rating_num,pa_health_satisfaction_num,pa_health_active_num,pa_health_commitment_num,mindset_ease_num,mindset_fun_num,barrier_1_num,barrier_2_num,barrier_3_num,barrier_4_num,barrier_total
P24,C,4,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Very hopeful,Pleasant,10: Outstanding,10: Extremely,Somewhat difficult,Somewhat boring,Very unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,Maybe I can,Maybe I can,I’m sure I cannot,10,10,3,3,5,2,2,0,1,1,2,4
P28,C,1,Agree,Strongly agree,Strongly agree,Very hopeful,Very pleasant,10: Outstanding,10: Extremely,Very easy,Very fun,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,I’m sure I can,I’m sure I can,Maybe I can,10,10,4,5,5,4,4,0,0,0,0,0
P28,C,2,Agree,Strongly agree,Strongly agree,Very hopeful,Pleasant,10: Outstanding,10: Extremely,Very easy,Very fun,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,I’m sure I can,I’m sure I can,Maybe I can,10,10,4,5,5,4,4,0,0,0,0,0
P28,C,3,Agree,Strongly agree,Strongly agree,Hopeful,Pleasant,10: Outstanding,10: Extremely,Very easy,Very fun,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,I’m sure I can,I’m sure I can,Maybe I can,10,10,4,5,5,4,4,0,0,0,0,0
P28,C,4,Agree,Strongly agree,Agree,Hopeful,Pleasant,10: Outstanding,10: Extremely,Very easy,Very fun,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,I’m sure I can,I’m sure I can,Maybe I can,10,10,4,5,4,4,4,0,0,0,0,0
P39,T,1,Agree,Neither agree nor disagree,Strongly agree,Very hopeful,Pleasant,9: Excellent,10: Extremely,Somewhat difficult,Somewhat fun,Very unlikely,Very unlikely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Maybe I can,Maybe I can,I’m slightly sure I can,9,10,4,3,5,2,3,0,0,1,2,3
P39,T,2,Agree,Neither agree nor disagree,Strongly agree,Very hopeful,Very pleasant,9: Excellent,10: Extremely,Somewhat difficult,Somewhat fun,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Maybe I can,I’m slightly sure I can,Maybe I can,9,10,4,3,5,2,3,1,1,2,1,5
P39,T,3,Agree,Neither agree nor disagree,Agree,Hopeful,Pleasant,8: Very Good,8: Quite a bit,Somewhat easy,Somewhat fun,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Maybe I can,I’m slightly sure I can,Maybe I can,8,8,4,3,4,3,3,1,1,2,1,5
P39,T,4,Agree,Neither agree nor disagree,Strongly agree,Very hopeful,Very pleasant,9: Excellent,8: Quite a bit,Somewhat easy,Somewhat fun,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Maybe I can,I’m slightly sure I can,Maybe I can,9,8,4,3,5,3,3,1,1,2,2,6
P35,C,1,Neither agree nor disagree,Neither agree nor disagree,Agree,Hopeful,Very pleasant,7: Good,8: Quite a bit,Somewhat difficult,Somewhat fun,Very unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat likely,Maybe I can,Maybe I can,I’m sure I cannot,7,8,3,3,4,2,3,0,2,1,2,5
P35,C,2,Agree,Neither agree nor disagree,Agree,Hopeful,Pleasant,9: Excellent,9: Very much,Somewhat difficult,Somewhat fun,Very unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,Maybe I can,I’m slightly sure I can,I’m sure I cannot,9,9,4,3,4,2,3,0,1,1,2,4
P35,C,3,Neither agree nor disagree,Neither agree nor disagree,Agree,Hopeful,Pleasant,10: Outstanding,10: Extremely,Somewhat difficult,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat likely,Somewhat likely,Maybe I can,Maybe I can,I’m slightly sure I cannot,10,10,3,3,4,2,3,0,1,0,2,3
P35,C,4,Neither agree nor disagree,Neither agree nor disagree,Agree,Hopeful,Pleasant,9: Excellent,9: Very much,Somewhat difficult,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat likely,Somewhat likely,Maybe I can,I’m slightly sure I can,I’m sure I cannot,9,9,3,3,4,2,3,0,1,0,2,3
P51,T,1,Neither agree nor disagree,Neither agree nor disagree,Agree,Hopeful,Pleasant,8: Very Good,5: Somewhat,Somewhat easy,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Very unlikely,Very unlikely,I’m slightly sure I can,I’m slightly sure I can,Maybe I can,8,5,3,3,4,3,3,0,1,0,0,1
P51,T,2,Neither agree nor disagree,Neither agree nor disagree,Agree,Hopeful,Pleasant,6: Above Average,6: Moderately,Somewhat easy,Somewhat fun,Very unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I cannot,6,6,3,3,4,3,3,0,0,0,1,1
P51,T,3,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither pleasant nor unpleasant,Pleasant,6: Above Average,7: Fairly,Somewhat easy,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Maybe I can,Maybe I can,I’m slightly sure I cannot,6,7,3,3,4,3,3,0,1,0,1,2
P51,T,4,Neither agree nor disagree,Neither agree nor disagree,Agree,Hopeful,Very pleasant,7: Good,5: Somewhat,Somewhat easy,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Very unlikely,Very unlikely,Maybe I can,I’m slightly sure I can,I’m slightly sure I cannot,7,5,3,3,4,3,3,0,1,0,0,1
P6,T,1,Disagree,Strongly disagree,Agree,Neither pleasant nor unpleasant,Pleasant,8: Very Good,6: Moderately,Somewhat difficult,Somewhat boring,Somewhat likely,Somewhat likely,Very unlikely,Very likely,Very likely,I’m slightly sure I cannot,I’m sure I cannot,I’m sure I cannot,8,6,2,1,4,2,2,2,2,0,3,7
P6,T,2,Disagree,Strongly disagree,Agree,Neither pleasant nor unpleasant,Pleasant,8: Very Good,5: Somewhat,Somewhat difficult,Very boring,Very likely,Very likely,Very unlikely,Very likely,Very likely,Maybe I can,I’m sure I cannot,I’m sure I cannot,8,5,2,1,4,2,1,3,3,0,3,9
P6,T,4,Disagree,Strongly disagree,Neither agree nor disagree,Neither pleasant nor unpleasant,Pleasant,10: Outstanding,8: Quite a bit,Very difficult,Somewhat boring,Somewhat unlikely,Very likely,Very unlikely,Very likely,Very likely,Maybe I can,Maybe I can,I’m slightly sure I cannot,10,8,2,1,3,1,2,1,3,0,3,7
P12,C,1,Disagree,Disagree,Agree,Unpleasant,Neither pleasant nor unpleasant,6: Above Average,6: Moderately,Somewhat difficult,Somewhat fun,Very likely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,Maybe I can,I’m slightly sure I can,I’m slightly sure I can,6,6,2,2,4,2,3,3,1,1,2,7
P12,C,2,Disagree,Disagree,Agree,Very unpleasant,Neither pleasant nor unpleasant,5: Neutral,4: Slightly,Somewhat difficult,Somewhat fun,Very likely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I cannot,Maybe I can,I’m slightly sure I can,5,4,2,2,4,2,3,3,1,1,2,7
P12,C,3,Disagree,Disagree,Agree,Neither pleasant nor unpleasant,Pleasant,5: Neutral,4: Slightly,Somewhat difficult,Somewhat fun,Very likely,Somewhat unlikely,Very unlikely,Very likely,Very likely,I’m sure I cannot,Maybe I can,I’m sure I can,5,4,2,2,4,2,3,3,1,0,3,7
P12,C,4,Disagree,Disagree,Agree,Neither pleasant nor unpleasant,Pleasant,5: Neutral,5: Somewhat,Somewhat difficult,Somewhat boring,Very likely,Somewhat unlikely,Very unlikely,Somewhat likely,Somewhat likely,I’m sure I cannot,Maybe I can,I’m sure I can,5,5,2,2,4,2,2,3,1,0,2,6
P15,T,1,Neither agree nor disagree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,5: Neutral,1: Not at all,Somewhat difficult,Somewhat fun,Somewhat likely,Very likely,Somewhat unlikely,Very likely,Very likely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I cannot,5,1,3,4,4,2,3,2,3,1,3,9
P15,T,2,Neither agree nor disagree,Agree,Strongly agree,Very hopeful,Pleasant,6: Above Average,2: Barely,Somewhat difficult,Somewhat fun,Somewhat likely,Very likely,Somewhat unlikely,Very likely,Very likely,I’m sure I can,I’m slightly sure I can,Maybe I can,6,2,3,4,5,2,3,2,3,1,3,9
P15,T,3,Disagree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,6: Above Average,5: Somewhat,Somewhat easy,Somewhat fun,Very unlikely,Very likely,Very unlikely,Somewhat likely,Somewhat likely,Maybe I can,I’m slightly sure I can,Maybe I can,6,5,2,4,4,3,3,0,3,0,2,5
P15,T,4,Disagree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,4: Below Average,2: Barely,Somewhat difficult,Somewhat boring,Very unlikely,Very likely,Somewhat unlikely,Very likely,Very likely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I cannot,4,2,2,4,4,2,2,0,3,1,3,7
P37,C,1,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,7: Good,6: Moderately,Somewhat difficult,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,I’m slightly sure I can,I’m sure I cannot,I’m sure I cannot,7,6,4,4,4,2,3,0,1,0,1,2
P37,C,2,Disagree,Agree,Neither agree nor disagree,Neither pleasant nor unpleasant,Neither pleasant nor unpleasant,7: Good,5: Somewhat,Somewhat difficult,Somewhat fun,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,I’m slightly sure I can,I’m slightly sure I can,I’m sure I cannot,7,5,2,4,3,2,3,0,0,0,0,0
P37,C,4,Agree,Agree,Agree,Hopeful,Pleasant,7: Good,9: Very much,Somewhat difficult,Somewhat fun,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,I’m sure I can,I’m slightly sure I can,I’m sure I cannot,7,9,4,4,4,2,3,0,0,0,0,0
P3,C,1,Agree,Agree,Agree,Hopeful,Pleasant,7: Good,8: Quite a bit,Somewhat easy,Somewhat boring,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I can,I’m slightly sure I can,Maybe I can,7,8,4,4,4,3,2,1,1,1,2,5
P3,C,2,Agree,Agree,Agree,Hopeful,Pleasant,10: Outstanding,10: Extremely,Somewhat easy,Somewhat boring,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I can,I’m slightly sure I can,Maybe I can,10,10,4,4,4,3,2,1,1,1,2,5
P3,C,3,Agree,Agree,Agree,Hopeful,Pleasant,7: Good,10: Extremely,Somewhat easy,Somewhat fun,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,Maybe I can,Maybe I can,Maybe I can,7,10,4,4,4,3,3,1,1,1,2,5
P3,C,4,Agree,Agree,Agree,Hopeful,Pleasant,7: Good,9: Very much,Somewhat easy,Somewhat fun,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Maybe I can,I’m sure I can,I’m slightly sure I cannot,7,9,4,4,4,3,3,1,1,1,1,4
P25,T,1,Neither agree nor disagree,Disagree,Agree,Hopeful,Very pleasant,9: Excellent,9: Very much,Very easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,I’m sure I can,I’m sure I can,I’m slightly sure I cannot,9,9,3,2,4,4,3,0,2,2,1,5
P25,T,2,Neither agree nor disagree,Neither agree nor disagree,Agree,Very hopeful,Very pleasant,9: Excellent,10: Extremely,Somewhat easy,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,I’m sure I can,I’m sure I can,I’m slightly sure I can,9,10,3,3,4,3,3,0,1,0,1,2
P25,T,3,Agree,Neither agree nor disagree,Agree,Hopeful,Pleasant,4: Below Average,10: Extremely,Very easy,Somewhat fun,Very unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Very unlikely,I’m sure I can,I’m sure I can,Maybe I can,4,10,4,3,4,4,3,0,0,0,1,1
P25,T,4,Agree,Agree,Strongly agree,Very hopeful,Very pleasant,5: Neutral,10: Extremely,Very easy,Somewhat fun,Very unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Very unlikely,I’m sure I can,I’m sure I can,Maybe I can,5,10,4,4,5,4,3,0,0,0,1,1
P1,C,1,Disagree,Strongly disagree,Agree,Very hopeful,Pleasant,8: Very Good,6: Moderately,Very difficult,Very boring,Very likely,Very likely,Very unlikely,Very likely,Very likely,Maybe I can,Maybe I can,Maybe I can,8,6,2,1,4,1,1,3,3,0,3,9
P1,C,2,Disagree,Strongly disagree,Disagree,Hopeful,Very pleasant,7: Good,5: Somewhat,Very difficult,Very boring,Very likely,Very likely,Very unlikely,Very likely,Very likely,Maybe I can,Maybe I can,Maybe I can,7,5,2,1,2,1,1,3,3,0,3,9
P26,C,1,Disagree,Neither agree nor disagree,Agree,Hopeful,Pleasant,9: Excellent,1: Not at all,Very easy,Somewhat boring,Very unlikely,Very unlikely,Very unlikely,Very likely,Very likely,I’m sure I can,I’m sure I can,Maybe I can,9,1,2,3,4,4,2,0,0,0,3,3
P26,C,2,Disagree,Disagree,Strongly agree,Very hopeful,Pleasant,9: Excellent,5: Somewhat,Somewhat difficult,Somewhat boring,Very unlikely,Somewhat likely,Very unlikely,Very likely,Very likely,I’m sure I can,I’m sure I can,Maybe I can,9,5,2,2,5,2,2,0,2,0,3,5
P26,C,3,Disagree,Neither agree nor disagree,Strongly agree,Very hopeful,Unpleasant,9: Excellent,5: Somewhat,Somewhat easy,Somewhat boring,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat likely,Very likely,I’m sure I can,I’m sure I can,I’m sure I can,9,5,2,3,5,3,2,0,1,0,2,3
P49,C,1,Agree,Agree,Strongly agree,Neither pleasant nor unpleasant,Pleasant,9: Excellent,10: Extremely,Somewhat easy,Somewhat fun,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I cannot,9,10,4,4,5,3,3,2,2,1,1,6
P49,C,2,Agree,Agree,Strongly agree,Neither pleasant nor unpleasant,Pleasant,10: Outstanding,10: Extremely,Somewhat easy,Somewhat fun,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I cannot,10,10,4,4,5,3,3,2,2,1,1,6
P49,C,3,Agree,Agree,Strongly agree,Neither pleasant nor unpleasant,Pleasant,10: Outstanding,10: Extremely,Somewhat easy,Somewhat fun,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I cannot,10,10,4,4,5,3,3,1,1,1,2,5
P29,T,2,Neither agree nor disagree,Neither agree nor disagree,Agree,Hopeful,Pleasant,4: Below Average,5: Somewhat,Somewhat difficult,Somewhat boring,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Maybe I can,I’m slightly sure I cannot,I’m slightly sure I cannot,4,5,3,3,4,2,2,2,2,2,2,8
P29,T,3,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither pleasant nor unpleasant,Pleasant,4: Below Average,5: Somewhat,Somewhat difficult,Somewhat boring,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Maybe I can,Maybe I can,I’m slightly sure I cannot,4,5,3,3,3,2,2,2,2,2,2,8
P36,C,1,Agree,Neither agree nor disagree,Agree,Very hopeful,Pleasant,8: Very Good,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Very likely,Very likely,I’m slightly sure I cannot,Maybe I can,I’m slightly sure I cannot,8,9,4,3,4,3,3,0,1,0,3,4
P36,C,2,Agree,Agree,Strongly agree,Hopeful,Pleasant,8: Very Good,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Very likely,Very likely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I cannot,8,9,4,4,5,3,3,0,1,0,3,4
P36,C,3,Agree,Agree,Agree,Hopeful,Pleasant,8: Very Good,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Very unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I can,I’m slightly sure I can,I’m sure I cannot,8,9,4,4,4,3,3,0,2,0,2,4
P13,C,1,Strongly agree,Agree,Neither agree nor disagree,Neither pleasant nor unpleasant,Pleasant,9: Excellent,9: Very much,Very easy,Somewhat boring,Very unlikely,Very unlikely,Very unlikely,Somewhat likely,Very likely,I’m slightly sure I can,Maybe I can,Maybe I can,9,9,5,4,3,4,2,0,0,0,2,2
P31,C,1,Disagree,Disagree,Neither agree nor disagree,Neither pleasant nor unpleasant,Unpleasant,7: Good,4: Slightly,Somewhat difficult,Somewhat boring,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I cannot,I’m slightly sure I cannot,I’m slightly sure I cannot,7,4,2,2,3,2,2,0,1,0,2,3
P31,C,2,Disagree,Disagree,Neither agree nor disagree,Neither pleasant nor unpleasant,Unpleasant,5: Neutral,5: Somewhat,Somewhat difficult,Somewhat boring,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I cannot,I’m slightly sure I cannot,I’m slightly sure I cannot,5,5,2,2,3,2,2,1,2,1,2,6
P31,C,3,Disagree,Disagree,Neither agree nor disagree,Neither pleasant nor unpleasant,Pleasant,5: Neutral,4: Slightly,Somewhat difficult,Somewhat boring,Very likely,Somewhat likely,Very likely,Very likely,Very likely,I’m slightly sure I cannot,I’m slightly sure I cannot,I’m sure I cannot,5,4,2,2,3,2,2,3,2,3,3,11
P32,T,1,Agree,Agree,Agree,Hopeful,Pleasant,7: Good,9: Very much,Somewhat easy,Somewhat fun,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat likely,Maybe I can,I’m sure I can,I’m sure I cannot,7,9,4,4,4,3,3,1,2,1,2,6
P32,T,2,Agree,Agree,Agree,Hopeful,Neither pleasant nor unpleasant,8: Very Good,9: Very much,Somewhat easy,Somewhat fun,Somewhat likely,Somewhat likely,Somewhat unlikely,Very likely,Very likely,Maybe I can,Maybe I can,I’m slightly sure I cannot,8,9,4,4,4,3,3,2,2,1,3,8
P32,T,3,Agree,Agree,Agree,Very hopeful,Pleasant,9: Excellent,10: Extremely,Somewhat difficult,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat likely,Somewhat likely,Maybe I can,I’m slightly sure I can,I’m sure I cannot,9,10,4,4,4,2,3,0,1,0,2,3
P11,T,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither pleasant nor unpleasant,Neither pleasant nor unpleasant,5: Neutral,5: Somewhat,Somewhat difficult,Somewhat boring,Somewhat unlikely,Somewhat likely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Maybe I can,Maybe I can,I’m sure I cannot,5,5,3,3,3,2,2,1,2,0,1,4
P11,T,2,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither pleasant nor unpleasant,Neither pleasant nor unpleasant,5: Neutral,5: Somewhat,Somewhat difficult,Somewhat boring,Very unlikely,Very likely,Somewhat unlikely,Somewhat likely,Somewhat likely,Maybe I can,Maybe I can,I’m sure I cannot,5,5,3,3,3,2,2,0,3,1,2,6
P11,T,3,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither pleasant nor unpleasant,Neither pleasant nor unpleasant,5: Neutral,5: Somewhat,Somewhat difficult,Somewhat boring,Somewhat unlikely,Somewhat likely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Maybe I can,Maybe I can,Maybe I can,5,5,3,3,3,2,2,1,2,0,1,4
P22,T,1,Disagree,Neither agree nor disagree,Agree,Very hopeful,Pleasant,9: Excellent,8: Quite a bit,Somewhat difficult,Very fun,Very unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,I’m sure I can,I’m sure I can,Maybe I can,9,8,2,3,4,2,4,0,0,0,1,1
P22,T,2,Disagree,Agree,Strongly agree,Very hopeful,Pleasant,8: Very Good,9: Very much,Somewhat difficult,Very fun,Very unlikely,Very unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m sure I can,I’m sure I can,Maybe I can,8,9,2,4,5,2,4,0,0,1,2,3
P22,T,3,Disagree,Agree,Strongly agree,Very hopeful,Pleasant,8: Very Good,8: Quite a bit,Somewhat difficult,Very fun,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat likely,Somewhat likely,I’m sure I can,I’m sure I can,Maybe I can,8,8,2,4,5,2,4,0,1,0,2,3
P19,T,1,Disagree,Disagree,Agree,Hopeful,Pleasant,4: Below Average,4: Slightly,Somewhat difficult,Somewhat boring,Very unlikely,Somewhat likely,Very unlikely,Somewhat likely,Very likely,Maybe I can,I’m slightly sure I can,I’m sure I cannot,4,4,2,2,4,2,2,0,2,0,2,4
P19,T,2,Disagree,Disagree,Strongly agree,Hopeful,Pleasant,6: Above Average,1: Not at all,Somewhat difficult,Somewhat boring,Somewhat unlikely,Very likely,Very unlikely,Very likely,Very likely,I’m sure I can,Maybe I can,I’m sure I cannot,6,1,2,2,5,2,2,1,3,0,3,7
P19,T,3,Agree,Agree,Agree,Very hopeful,Pleasant,2: Poor,2: Barely,Somewhat difficult,Somewhat boring,Very unlikely,Somewhat likely,Very unlikely,Very likely,Very likely,I’m slightly sure I can,Maybe I can,I’m sure I cannot,2,2,4,4,4,2,2,0,2,0,3,5
P40,T,1,Agree,Agree,Agree,Hopeful,Pleasant,8: Very Good,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,I’m sure I can,I’m sure I can,I’m slightly sure I cannot,8,9,4,4,4,3,3,0,2,2,1,5
P40,T,2,Agree,Agree,Agree,Hopeful,Pleasant,8: Very Good,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Maybe I can,I’m slightly sure I can,I’m slightly sure I cannot,8,9,4,4,4,3,3,0,2,2,1,5
P40,T,3,Agree,Agree,Agree,Hopeful,Pleasant,8: Very Good,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,I’m sure I can,I’m sure I can,I’m sure I cannot,8,9,4,4,4,3,3,0,2,2,1,5
P0,T,1,Agree,Neither agree nor disagree,Strongly agree,Very hopeful,Very pleasant,7: Good,8: Quite a bit,Somewhat difficult,Somewhat fun,Very unlikely,Somewhat likely,Somewhat likely,Very unlikely,Somewhat likely,Maybe I can,I’m slightly sure I can,I’m sure I cannot,7,8,4,3,5,2,3,0,2,2,0,4
P0,T,2,Agree,Agree,Strongly agree,Very hopeful,Pleasant,7: Good,8: Quite a bit,Somewhat easy,Somewhat fun,Very unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,Somewhat likely,I’m slightly sure I can,I’m sure I can,I’m sure I cannot,7,8,4,4,5,3,3,0,1,2,2,5
P0,T,3,Strongly agree,Agree,Strongly agree,Very hopeful,Very pleasant,8: Very Good,8: Quite a bit,Somewhat easy,Somewhat fun,Very unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,I’m slightly sure I can,I’m sure I can,I’m sure I cannot,8,8,5,4,5,3,3,0,1,1,1,3
P21,C,1,Disagree,Disagree,Neither agree nor disagree,Unpleasant,Neither pleasant nor unpleasant,7: Good,7: Fairly,Very difficult,Very boring,Very unlikely,Very likely,Very unlikely,Very likely,Very likely,I’m sure I cannot,I’m sure I cannot,I’m slightly sure I cannot,7,7,2,2,3,1,1,0,3,0,3,6
P21,C,2,Disagree,Disagree,Disagree,Very unpleasant,Neither pleasant nor unpleasant,7: Good,8: Quite a bit,Very difficult,Very boring,Very unlikely,Somewhat unlikely,Very unlikely,Very likely,Very likely,I’m sure I cannot,I’m sure I cannot,I’m sure I cannot,7,8,2,2,2,1,1,0,1,0,3,4
P21,C,3,Disagree,Disagree,Neither agree nor disagree,Unpleasant,Pleasant,5: Neutral,5: Somewhat,Somewhat difficult,Very boring,Very unlikely,Somewhat likely,Very unlikely,Very likely,Very likely,I’m slightly sure I cannot,I’m sure I cannot,I’m slightly sure I cannot,5,5,2,2,3,2,1,0,2,0,3,5
P50,C,1,Strongly agree,Strongly disagree,Strongly agree,Very hopeful,Very pleasant,9: Excellent,6: Moderately,Somewhat easy,Somewhat fun,Very unlikely,Very likely,Somewhat likely,Somewhat likely,Somewhat likely,I’m slightly sure I can,I’m slightly sure I can,I’m sure I cannot,9,6,5,1,5,3,3,0,3,2,2,7
P50,C,2,Strongly disagree,Disagree,Strongly agree,Hopeful,Pleasant,5: Neutral,5: Somewhat,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Maybe I can,I’m slightly sure I can,I’m slightly sure I cannot,5,5,1,2,5,3,3,0,2,1,1,4
P50,C,3,Strongly disagree,Strongly disagree,Agree,Very hopeful,Pleasant,5: Neutral,5: Somewhat,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Maybe I can,Maybe I can,I’m slightly sure I cannot,5,5,1,1,4,3,3,0,2,1,2,5
P8,C,1,Agree,Agree,Strongly agree,Very hopeful,Very pleasant,8: Very Good,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I can,I’m sure I can,I’m slightly sure I cannot,8,9,4,4,5,3,3,0,2,1,2,5
P8,C,2,Agree,Agree,Strongly agree,Very hopeful,Very pleasant,9: Excellent,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m sure I can,I’m sure I can,I’m slightly sure I cannot,9,9,4,4,5,3,3,0,2,1,2,5
P8,C,3,Agree,Agree,Agree,Very hopeful,Very pleasant,9: Excellent,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Very likely,Somewhat likely,Somewhat likely,Very likely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I can,9,9,4,4,4,3,3,0,3,2,2,7
